AliveRabbitNum,SafeRabbitNum,AvgRabbitHp,AliveFoxNum,AvgFoxHp
84,5,68.5,0,0
85,3,71.2,0,0
87,0,73.4,0,0
87,6,69.8,0,0
93,7,75,0,0
77,1,66.4,1,0.5
93,3,76.9,0,0
82,0,71.5,0,0
88,6,74.2,0,0
90,8,72.7,0,0
94,11,73.5,0,0
87,7,73.2,0,0
87,1,75.8,1,0.2
82,1,72.3,2,5.95
93,6,74.8,0,0
88,5,75.1,0,0
87,5,70.6,0,0
82,6,67.2,1,2.15
87,0,74.4,0,0
90,6,77.7,1,0.5
82,9,65.6,3,5.55
83,3,70.9,2,5.35
88,4,72.2,0,0
87,1,70.1,0,0
75,4,64,7,19.25
90,5,74.2,0,0
91,13,69.8,0,0
85,4,70.3,0,0
86,3,70.1,2,2.8
89,4,71.7,0,0
84,1,70.8,0,0
87,3,75.3,1,2.45
91,1,78.9,0,0
85,4,72.8,1,0.05
85,6,70.8,2,2.8
77,3,66.3,3,4.05
84,3,71.2,0,0
90,8,72.4,3,6.15
76,1,66.5,2,7.3
92,9,74.1,0,0
88,1,75.1,0,0
81,0,70.7,1,0.95
86,5,70.5,2,4.15
86,3,70.5,0,0
89,4,75.2,2,8.2
81,1,69.4,1,1.25
87,2,75.7,1,0.35
88,6,73.8,0,0
82,4,69.2,1,1.4
79,8,63.7,3,5.85
82,4,65.5,5,10.9
86,3,70.5,0,0
87,1,71.8,0,0
91,5,77.8,1,2.75
87,2,71.7,0,0
88,7,69.8,0,0
88,1,75,0,0
82,4,71.3,2,4.15
82,11,63.2,2,2.95
87,2,76.3,2,0.85
79,0,68,2,3.85
82,2,68.2,1,1.4
87,7,69.3,0,0
82,5,67.9,3,7.2
95,7,77.8,0,0
88,14,63.8,0,0
89,1,75.5,0,0
91,3,74.9,0,0
77,5,63.7,5,12.25
88,5,73.7,0,0
81,0,67.6,0,0
88,4,72.8,0,0
84,4,70.8,1,1.1
88,5,69.5,0,0
86,8,67.9,0,0
86,3,69.9,0,0
83,3,71.5,5,9.4
81,2,66.5,2,1.75
87,2,73.9,0,0
81,5,67.2,0,0
82,6,64.4,2,2.95
93,6,74.6,0,0
88,4,72.8,0,0
93,8,74.5,0,0
87,16,66.7,1,0.05
90,3,74.6,1,0.2
83,3,70.7,0,0
82,3,68.2,3,7.2
80,3,67.6,3,2.7
90,9,74.9,1,1.1
93,2,72.4,0,0
90,7,70,0,0
86,9,69.2,1,1.25
91,10,68.3,0,0
92,4,71.9,0,0
85,2,69.7,0,0
86,7,70.4,2,3.25
78,2,61.9,4,6.35
81,6,67.9,3,4.05
82,3,69.2,1,0.5
90,4,77.1,1,1.85
75,3,60.4,3,5.55
87,8,68,0,0
