AliveRabbitNum,SafeRabbitNum,AvgRabbitHp,AliveFoxNum,AvgFoxHp
65,28,63.2,20,91.75
62,25,60.6,18,85.2
71,31,69.9,20,99.85
70,28,66.1,20,99.7
71,31,68.6,19,93.35
72,26,69.8,20,98.5
70,28,65.2,18,76.05
65,21,63.7,20,95.65
67,20,63.5,15,74.55
69,20,64.4,17,84.1
63,23,60.4,20,98.8
65,28,63,20,100
72,37,70.1,18,86.7
69,24,63,20,87.55
67,27,65.6,20,99.85
71,35,69,20,98.2
69,28,65.5,20,92.8
67,28,65.3,20,93.55
69,23,66.2,19,80.45
69,33,67.2,20,99.7
68,21,66.1,19,90.35
71,22,68.5,19,93.2
70,23,65.5,18,86.7
72,29,68.9,20,92.2
65,31,60.4,20,92.2
68,25,65.7,19,92
70,21,65.5,16,78.95
68,39,65.9,20,97.9
65,30,64.1,20,97.9
71,26,69.7,19,89.15
62,25,61.4,20,97
65,15,62.7,17,84.1
61,22,59.9,20,94.3
72,28,70.3,20,95.8
65,22,58.6,19,83.6
70,27,67.1,20,94.9
63,27,61.7,20,99.4
70,32,67,20,99.4
70,27,68.3,20,97.45
69,24,65.7,19,89.6
70,21,68.5,19,94.55
70,19,67.5,15,72.45
68,32,66.4,20,97.45
68,35,67.1,20,100
64,23,61.9,20,98.65
74,34,70.7,20,98.05
71,24,67.5,18,89.4
72,16,68.6,18,87.75
62,32,60.4,20,90.85
65,33,62.8,20,85.6
67,29,65,19,80.6
69,22,67.1,20,98.8
72,36,70.2,20,98.65
67,16,61.3,18,83.25
69,30,68,16,78.8
69,31,67.8,20,96.85
66,28,64.5,19,88.85
66,16,64.1,20,93.4
69,29,64.6,20,96.85
68,27,66.2,20,99.85
64,28,60.8,20,96.7
75,27,72.6,20,95.8
66,29,64.5,20,98.8
72,33,69.5,18,90
70,21,69.1,20,98.5
66,22,62.9,20,98.95
70,23,68.8,20,96.4
71,32,68.8,20,95.95
67,24,64.8,20,99.25
71,20,67.3,18,82.95
72,30,68.3,20,93.4
72,39,71.1,20,99.85
66,23,65.3,20,100
64,12,61.7,20,98.65
67,16,63.2,16,78.35
68,26,64.9,20,96.85
64,26,62.3,20,92.65
71,30,68.1,20,95.5
68,21,65.1,20,92.2
67,24,64.9,18,81.45
66,21,62.2,19,89
74,34,70.9,20,90.4
73,16,68.9,16,76.55
70,14,65.9,19,92.75
64,23,61.3,20,89.8
72,28,70.7,20,98.65
69,25,67.3,20,92.35
63,29,57.9,20,85.6
75,25,70.6,17,79.15
71,29,68.4,20,92.8
62,25,58.5,20,94.45
75,17,71.8,16,79.1
67,29,65.9,20,94.6
74,26,70.1,16,74.6
68,14,65.2,20,99.25
61,24,60.2,20,99.7
67,28,64.7,20,99.55
66,23,62.8,18,87.75
72,42,67.2,20,99.85
63,26,61.6,20,97.75
68,26,65.6,20,98.65
82,19,77.6,18,85.5
77,23,71.9,20,98.8
81,30,77.8,20,99.55
84,27,79.4,18,89.7
96,24,91.8,16,32.15
95,38,91.1,15,39.3
86,23,71.7,20,43.3
70,23,60.3,19,43.55
88,29,71,20,51.25
89,31,76.1,17,38.95
78,35,66.4,19,45.35
