AliveRabbitNum,SafeRabbitNum,AvgRabbitHp,AliveFoxNum,AvgFoxHp
86,23,59.5,10,26.15
75,23,53.2,14,37.45
75,41,49.2,17,53.35
80,32,57.3,15,40.95
81,35,60.7,16,57.2
64,26,45.4,19,60.65
74,27,51.5,15,46.95
78,20,57,16,36.65
81,31,54.6,16,32.45
78,26,55.3,15,40.65
82,38,53.1,15,45.75
0,0,0,1,100
1,1,30,1,100
0,0,0,1,100
82,20,61.4,14,44.8
74,22,83,19,84.5
67,12,76,17,68.8
75,23,76.125,20,80.05
70,17,72,20,76.45
71,24,74.375,19,82.25
70,18,75.25,19,88.1
73,13,79.125,19,72.8
72,30,76.375,20,89.5
71,18,73.875,19,78.8
37,11,30.625,19,92.6
52,12,38.7,19,75.8
